,Country/Territory,UN region,IMF[1][13],IMF[1][13],World Bank[14],World Bank[14],United Nations[15],United Nations[15]
,Country/Territory,UN region,Forecast,Year,Estimate,Year,Estimate,Year
0,World,—,104476432,2023,100562011,2022,96698005,2021
1,United States,Americas,26949643,2023,25462700,2022,23315081,2021
2,China,Asia,17700899,[n 1]2023,17963171,[n 3]2022,17734131,[n 1]2021
3,Germany,Europe,4429838,2023,4072192,2022,4259935,2021
4,Japan,Asia,4230862,2023,4231141,2022,4940878,2021
5,India,Asia,3732224,2023,3385090,2022,3201471,2021
6,United Kingdom,Europe,3332059,2023,3070668,2022,3131378,2021
7,France,Europe,3049016,2023,2782905,2022,2957880,2021
8,Italy,Europe,2186082,2023,2010432,2022,2107703,2021
9,Brazil,Americas,2126809,2023,1920096,2022,1608981,2021
10,Canada,Americas,2117805,2023,2139840,2022,1988336,2021
11,Russia,Europe,1862470,2023,2240422,2022,1778782,2021
12,Mexico,Americas,1811468,2023,1414187,2022,1272839,2021
13,South Korea,Asia,1709232,2023,1665246,2022,1810966,2021
14,Australia,Oceania,1687713,2023,1675419,2022,1734532,2021
15,Spain,Europe,1582054,2023,1397509,2022,1427381,2021
16,Indonesia,Asia,1417387,2023,1319100,2022,1186093,2021
17,Turkey,Asia,1154600,2023,905988,2022,819034,2021
18,Netherlands,Europe,1092748,2023,991115,2022,1012847,2021
19,Saudi Arabia,Asia,1069437,2023,1108149,2022,833541,2021
20,Switzerland,Europe,905684,2023,807706,2022,812867,2021
21,Poland,Europe,842172,2023,688177,2022,679442,2021
22,Taiwan,Asia,751930,[n 4]2023,—,—,—,—
23,Belgium,Europe,627511,2023,578604,2022,594104,2021
24,Argentina,Americas,621833,2023,632770,2022,487227,2021
25,Sweden,Europe,597110,2023,585939,2022,635664,2021
26,Ireland,Europe,589569,2023,529245,2022,504183,2021
27,Norway,Europe,546768,2023,579267,2022,482175,2021
28,Austria,Europe,526182,2023,471400,2022,480368,2021
29,Israel,Asia,521688,2023,522033,2022,481591,2021
30,Thailand,Asia,512193,2023,495341,2022,505982,2021
31,United Arab Emirates,Asia,509179,2023,507535,2022,405468,2021
32,Singapore,Asia,497347,2023,466789,2022,396992,2021
33,Bangladesh,Asia,446349,2023,460201,2022,414907,2021
34,Philippines,Asia,435675,2023,404284,2022,394086,2021
35,Vietnam,Asia,433356,2023,408802,2022,366138,2021
36,Malaysia,Asia,430895,2023,406306,2022,372702,2021
37,Denmark,Europe,420800,2023,395404,2022,398303,2021
38,Egypt,Africa,398397,2023,476748,2022,425906,2021
39,Nigeria,Africa,390002,2023,477386,2022,430923,2021
40,Hong Kong,Asia,385546,[n 5]2023,359839,2022,369174,2021
41,South Africa,Africa,380906,2023,405870,2022,419016,2021
42,Iran,Asia,366438,2023,388544,2022,594892,2021
43,Colombia,Americas,363835,2023,343939,2022,314464,2021
44,Romania,Europe,350414,2023,301262,2022,284086,2021
45,Chile,Americas,344400,2023,301025,2022,317059,2021
46,Pakistan,Asia,340636,2023,376533,2022,342501,2021
47,Czech Republic,Europe,335243,2023,290924,2022,281778,2021
48,Finland,Europe,305689,2023,280826,2022,297302,2021
49,Iraq,Asia,297695,2023,264182,2022,204004,2021
50,Portugal,Europe,276432,2023,251945,2022,253663,2021
51,Peru,Americas,264636,2023,242632,2022,223252,2021
52,Kazakhstan,Asia,259292,2023,220623,2022,193018,2021
53,New Zealand,Oceania,249415,2023,247234,2022,250451,2021
54,Greece,Europe,242385,2023,219066,2022,214874,2021
55,Qatar,Asia,235500,2023,237296,2022,179571,2021
56,Algeria,Africa,224107,2023,191913,2022,163473,2021
57,Hungary,Europe,203829,2023,178789,2022,181848,2021
58,Ukraine,Europe,173413,[n 6]2023,160503,[n 6]2022,200086,[n 6]2021
59,Kuwait,Asia,159687,2023,184558,2022,136642,2021
60,Ethiopia,Africa,155804,2023,126783,2022,99269,2021
61,Morocco,Africa,147343,2023,134182,2022,142867,[n 7]2021
62,Slovakia,Europe,133044,2023,115469,2022,116527,2021
63,Cuba,Americas,—,—,633442,2022,126694,2021
64,Dominican Republic,Americas,120629,2023,113642,2022,94243,2021
65,Ecuador,Americas,118686,2023,115049,2022,106166,2021
66,Puerto Rico,Americas,117515,2023,113435,2022,106526,2021
67,Kenya,Africa,112749,2023,113420,2022,110347,2021
68,Oman,Asia,108282,2023,114667,2022,88192,2021
69,Bulgaria,Europe,103099,2023,89040,2022,84058,2021
70,Guatemala,Americas,102765,2023,95003,2022,85986,2021
71,Angola,Africa,93796,2023,106714,2022,70533,2021
72,Venezuela,Americas,92210,2023,—,—,111813,2021
73,Uzbekistan,Asia,90392,2023,80392,2022,69239,2021
74,Luxembourg,Europe,89095,2023,82275,2022,85506,2021
75,Costa Rica,Americas,85590,2023,68381,2022,64282,2021
76,Tanzania,Africa,84033,2023,75709,2022,70297,[n 8]2021
77,Panama,Americas,82348,2023,76523,2022,63605,2021
78,Turkmenistan,Asia,81822,2023,—,—,53954,2021
79,Croatia,Europe,80185,2023,70965,2022,68955,2021
80,Ivory Coast,Africa,79430,2023,70019,2022,69765,2021
81,Lithuania,Europe,79427,2023,70334,2022,66445,2021
82,Azerbaijan,Asia,77392,2023,78721,2022,54622,2021
83,Ghana,Africa,76628,2023,72839,2022,79083,2021
84,Uruguay,Americas,76244,2023,71177,2022,59318,2021
85,Serbia,Europe,75015,2023,63502,2022,63068,2021
86,Myanmar,Asia,74861,2023,59364,2022,58582,2021
87,Sri Lanka,Asia,—,—,74404,2022,85309,2021
88,Belarus,Europe,68864,2023,72793,2022,68206,2021
89,Slovenia,Europe,68394,2023,62118,2022,61749,2021
90,DR Congo,Africa,67512,2023,58066,2022,52850,2021
91,Uganda,Africa,52390,2023,45559,2022,42661,2021
92,Tunisia,Africa,51271,2023,46665,2022,46687,2021
93,Jordan,Asia,50022,2023,47452,2022,45244,2021
94,Cameroon,Africa,49262,2023,44342,2022,45368,2021
95,Bolivia,Americas,46796,2023,43069,2022,40408,2021
96,Latvia,Europe,46668,2023,41154,2022,39854,2021
97,Bahrain,Asia,44994,2023,44391,2022,38869,2021
98,Paraguay,Americas,44142,2023,41722,2022,40458,2021
99,Estonia,Europe,41799,2023,38101,2022,37191,2021
100,Nepal,Asia,41339,2023,40828,2022,36207,2021
101,Libya,Africa,40194,2023,45752,2022,39006,2021
102,Macau,Asia,38480,[n 9]2023,21979,2022,29905,2021
103,Lebanon,Asia,—,—,—,—,37945,2021
104,El Salvador,Americas,35339,2023,32489,2022,28737,2021
105,Honduras,Americas,33992,2023,31718,2022,28489,2021
106,Zimbabwe,Africa,32424,2023,20678,2022,24118,2021
107,Cyprus,Asia,32032,[n 10]2023,28439,[n 10]2022,28408,[n 10]2021
108,Papua New Guinea,Oceania,31692,2023,30633,2022,26595,2021
109,Senegal,Africa,31141,2023,27684,2022,27625,2021
110,Cambodia,Asia,30943,2023,29957,2022,26669,2021
111,Iceland,Europe,30570,2023,27842,2022,25602,2021
112,Georgia,Asia,30023,[n 11]2023,24605,[n 11]2022,18696,[n 11]2021
113,Zambia,Africa,29536,2023,29784,2022,21313,2021
114,Trinidad and Tobago,Americas,27887,2023,27899,2022,24460,2021
115,Bosnia and Herzegovina,Europe,26945,2023,24528,2022,23365,2021
116,Haiti,Americas,25986,2023,20254,2022,19044,2021
117,Sudan,Africa,25569,2023,51662,2022,35867,2021
118,Armenia,Asia,24540,2023,19503,2022,13861,2021
119,Guinea,Africa,23205,2023,21228,2022,16036,2021
120,Albania,Europe,23032,2023,18882,2022,18260,2021
121,Mozambique,Africa,21936,2023,17851,2022,15777,2021
122,Mali,Africa,21309,2023,18827,2022,19157,2021
123,Yemen,Asia,21045,2023,—,—,9947,2021
124,Burkina Faso,Africa,20785,2023,18885,2022,19738,2021
125,Botswana,Africa,20756,2023,20352,2022,17615,2021
126,Malta,Europe,20311,2023,17765,2022,17721,2021
127,Benin,Africa,19940,2023,17402,2022,17688,2021
128,Syria,Asia,—,—,—,—,19719,2021
129,Gabon,Africa,19319,2023,21072,2022,18521,2021
130,Palestine,Asia,18109,[n 12]2021,19112,[n 12]2022,18037,[n 13]2021
131,Mongolia,Asia,18782,2023,16811,2022,15098,2021
132,Jamaica,Americas,18761,2023,17098,2022,14658,2021
133,Nicaragua,Americas,17353,2023,15672,2022,14013,2021
134,Niger,Africa,17073,2023,13970,2022,14915,2021
135,North Korea,Asia,—,—,—,—,16750,2021
136,Guyana,Americas,16329,2023,15358,2022,8044,2021
137,Moldova,Europe,16000,[n 14]2023,14421,[n 14]2022,13680,[n 14]2021
138,North Macedonia,Europe,15801,2023,13563,2022,13881,2021
139,Madagascar,Africa,15763,2023,14955,2022,14450,2021
140,Brunei,Asia,15153,2023,16682,2022,14006,2021
141,Afghanistan,Asia,—,—,—,—,14939,2021
142,Mauritius,Africa,14819,2023,12898,2022,11525,2021
143,Congo,Africa,14407,2023,14616,2022,12841,2021
144,Laos,Asia,14244,2023,15724,2022,19074,2021
145,Rwanda,Africa,13927,2023,13313,2022,11070,2021
146,Bahamas,Americas,13876,2023,12897,2022,11209,2021
147,Malawi,Africa,13176,2023,13165,2022,12199,2021
148,Kyrgyzstan,Asia,12681,2023,10931,2022,8741,2021
149,Namibia,Africa,12647,2023,12607,2022,12236,2021
150,Chad,Africa,12596,2023,12704,2022,16410,2021
151,Tajikistan,Asia,11816,2023,10492,2022,8746,2021
152,Somalia,Africa,11515,2023,8126,2022,7628,2021
153,Kosovo,Europe,10469,2023,9429,2022,9412,2021
154,Mauritania,Africa,10357,2023,10375,2022,9996,2021
155,New Caledonia,Oceania,—,—,—,—,10071,2021
156,Equatorial Guinea,Africa,10041,2023,11814,2022,12431,2021
157,Togo,Africa,9111,2023,8126,2022,8160,2021
158,Monaco,Europe,—,—,—,—,8596,2021
159,Bermuda,Americas,—,—,7551,2022,7231,2021
160,Montenegro,Europe,7058,2023,6096,2022,5809,2021
161,Maldives,Asia,6977,2023,6190,2022,5406,2021
162,Liechtenstein,Europe,—,—,—,—,6608,2021
163,South Sudan,Africa,6267,2023,—,—,4304,2021
164,Barbados,Americas,6220,2023,5638,2022,4844,2021
165,French Polynesia,Oceania,—,—,—,—,6055,2021
166,Cayman Islands,Americas,—,—,—,—,5809,2021
167,Fiji,Oceania,5511,2023,4943,2022,4296,2021
168,Eswatini,Africa,4648,2023,4854,2022,4732,2021
169,Liberia,Africa,4347,2023,4001,2022,2445,2021
170,Djibouti,Africa,3873,2023,3515,2022,3701,2021
171,Aruba,Americas,3827,2023,—,—,3126,2021
172,Andorra,Europe,3692,2023,3352,2022,3325,2021
173,Suriname,Americas,3539,2023,3621,2022,3224,2021
174,Sierra Leone,Africa,3519,2023,3970,2022,4249,2021
175,Greenland,Americas,—,—,—,—,3273,2021
176,Belize,Americas,3218,2023,2824,2022,2492,2021
177,Burundi,Africa,3190,2023,3073,2022,3900,2021
178,Central African Republic,Africa,2760,2023,2383,2022,2518,2021
179,Curaçao,Americas,—,—,—,—,2700,2021
180,Bhutan,Asia,2686,2023,—,—,2381,2021
181,Cape Verde,Africa,2598,2023,2315,2022,1936,2021
182,Saint Lucia,Americas,2469,2023,2065,2022,1765,2021
183,Gambia,Africa,2388,2023,2273,2022,2038,2021
184,Lesotho,Africa,2373,2023,2553,2022,2373,2021
185,Eritrea,Africa,—,—,—,—,2255,2021
186,Seychelles,Africa,2085,2023,1588,2022,1287,2021
187,Zanzibar,Africa,—,—,—,—,2080,2021
188,East Timor,Asia,2023,2023,3163,2022,2004,2021
189,San Marino,Europe,1998,2023,—,—,1702,2021
190,Guinea-Bissau,Africa,1991,2023,1634,2022,1563,2021
191,Antigua and Barbuda,Americas,1949,2023,1758,2022,1421,2021
192,Solomon Islands,Oceania,1690,2023,1596,2022,1632,2021
193,Sint Maarten,Americas,—,—,1572,2022,1154,2021
194,British Virgin Islands,Americas,—,—,—,—,1539,2021
195,Comoros,Africa,1364,2023,1243,2022,1340,2021
196,Grenada,Americas,1306,2023,1256,2022,1115,2021
197,Vanuatu,Oceania,1166,2023,984,2022,981,2021
198,Turks and Caicos Islands,Americas,—,—,1139,2022,943,2021
199,Saint Kitts and Nevis,Americas,1069,2023,962,2022,861,2021
200,Saint Vincent and the Grenadines,Americas,1039,2023,949,2022,881,2021
201,Samoa,Oceania,939,2023,832,2022,857,2021
202,Dominica,Americas,697,2023,612,2022,548,2021
203,São Tomé and Príncipe,Africa,674,2023,547,2022,555,2021
204,Tonga,Oceania,547,2023,—,—,472,2021
205,Micronesia,Oceania,458,2023,427,2022,404,2021
206,Cook Islands,Oceania,—,—,—,—,328,2021
207,Anguilla,Americas,—,—,—,—,303,2021
208,Marshall Islands,Oceania,277,2023,280,2022,257,2021
209,Palau,Oceania,267,2023,—,—,218,2021
210,Kiribati,Oceania,246,2023,223,2022,227,2021
211,Nauru,Oceania,150,2023,151,2022,155,2021
212,Montserrat,Americas,—,—,—,—,72,2021
213,Tuvalu,Oceania,63,2023,60,2022,60,2021
